time,estimated_returnee
2022-03-24,2014
2022-03-25,1632
2022-03-26,1841
2022-03-27,1822
2022-03-28,1983
2022-03-29,2186
2022-03-30,1860
2022-03-31,2109
2022-04-01,2121
2022-04-02,1976
2022-04-03,2004
2022-04-04,2181
2022-04-05,2457
2022-04-06,2253
2022-04-07,2362
2022-04-08,2350
2022-04-09,2412
2022-04-10,2322
2022-04-11,2467
2022-04-12,2382
2022-04-13,2375
2022-04-14,2389
2022-04-15,2669
2022-04-16,2746
2022-04-17,2912
2022-04-18,2936
2022-04-19,2872
2022-04-20,2687
2022-04-21,2554
2022-04-22,2616
2022-04-23,2468
2022-04-24,2459
2022-04-25,2605
2022-04-26,2661
2022-04-27,2818
2022-04-28,2756
2022-04-29,2628
2022-04-30,2644
2022-05-01,2676
2022-05-02,2641
2022-05-03,2668
2022-05-04,2745
2022-05-05,2602
2022-05-06,2624
2022-05-07,2666
2022-05-08,2699
2022-05-09,2670
2022-05-10,2748
2022-05-11,2673
2022-05-12,2673
2022-05-13,2669
2022-05-14,2679
2022-05-15,2627
2022-05-16,2589
2022-05-17,2589
2022-05-18,2568
2022-05-19,2658
2022-05-20,2639
2022-05-21,2627
2022-05-22,2693
2022-05-23,2607
2022-05-24,2601
2022-05-25,2632
2022-05-26,2615
2022-05-27,2586
2022-05-28,2550
2022-05-29,2567
2022-05-30,2589
2022-05-31,2580
2022-06-01,2581
2022-06-02,2577
2022-06-03,2559
2022-06-04,2569
2022-06-05,2577
2022-06-06,2571
2022-06-07,2564
2022-06-08,2559
2022-06-09,2563
2022-06-10,2573
2022-06-11,2579
2022-06-12,2598
2022-06-13,2624
2022-06-14,2632
2022-06-15,2623
2022-06-16,2626
2022-06-17,2624
2022-06-18,2633
2022-06-19,2626
2022-06-20,2626
2022-06-21,2631
2022-06-22,2648
2022-06-23,2658
2022-06-24,2657
2022-06-25,2644
2022-06-26,2648
2022-06-27,2635
2022-06-28,2631
2022-06-29,2637
2022-06-30,2635
2022-07-01,2629
2022-07-02,2630
2022-07-03,2627
2022-07-04,2633
2022-07-05,2644
2022-07-06,2636
2022-07-07,2624
2022-07-08,2624
2022-07-09,2630
2022-07-10,2634
2022-07-11,2633
2022-07-12,2638
2022-07-13,2648
2022-07-14,2660
2022-07-15,2666
2022-07-16,2657
2022-07-17,2653
2022-07-18,2660
2022-07-19,2659
2022-07-20,2661
2022-07-21,2667
2022-07-22,2673
2022-07-23,2680
2022-07-24,2676
2022-07-25,2670
2022-07-26,2666
2022-07-27,2667
2022-07-28,2668
2022-07-29,2668
2022-07-30,2669
2022-07-31,2671
2022-08-01,2674
