time,estimated_returnee
2022-03-24,2012
2022-03-25,1622
2022-03-26,1834
2022-03-27,1816
2022-03-28,1981
2022-03-29,3329
2022-03-30,2563
2022-03-31,2490
2022-04-01,2217
2022-04-02,2073
2022-04-03,2287
2022-04-04,2038
2022-04-05,2146
2022-04-06,2014
2022-04-07,2077
2022-04-08,2043
2022-04-09,1989
2022-04-10,2249
2022-04-11,2526
2022-04-12,2280
2022-04-13,2266
2022-04-14,2062
2022-04-15,1979
2022-04-16,1888
2022-04-17,2144
2022-04-18,2469
2022-04-19,2649
2022-04-20,2504
2022-04-21,3113
2022-04-22,2259
2022-04-23,2068
2022-04-24,2568
2022-04-25,2882
2022-04-26,3186
2022-04-27,3328
2022-04-28,2587
2022-04-29,2310
2022-04-30,1760
2022-05-01,2355
2022-05-02,2635
2022-05-03,2863
2022-05-04,2999
2022-05-05,2810
2022-05-06,2461
2022-05-07,2402
2022-05-08,2240
2022-05-09,2010
2022-05-10,2151
2022-05-11,1975
2022-05-12,1644
2022-05-13,2019
2022-05-14,2099
2022-05-15,2154
2022-05-16,2248
2022-05-17,2050
2022-05-18,2468
2022-05-19,1950
2022-05-20,1977
2022-05-21,1825
2022-05-22,2061
2022-05-23,2303
2022-05-24,1867
2022-05-25,1717
2022-05-26,1666
2022-05-27,1923
2022-05-28,2146
2022-05-29,1602
2022-05-30,2869
2022-05-31,1724
2022-06-01,1741
2022-06-02,1508
2022-06-03,1543
2022-06-04,1840
2022-06-05,1471
2022-06-06,1498
2022-06-07,1899
2022-06-08,1732
2022-06-09,1548
2022-06-10,1570
2022-06-11,1791
2022-06-12,1613
2022-06-13,1932
2022-06-14,1543
2022-06-15,1626
2022-06-16,1490
2022-06-17,1637
2022-06-18,1359
2022-06-19,1301
2022-06-20,1213
2022-06-21,1607
2022-06-22,1461
2022-06-23,1339
2022-06-24,1394
2022-06-25,1384
2022-06-26,1409
2022-06-27,1335
2022-06-28,1192
2022-06-29,2018
2022-06-30,1185
2022-07-01,1525
2022-07-02,1534
2022-07-03,1194
2022-07-04,1236
2022-07-05,1244
2022-07-06,1717
2022-07-07,1117
2022-07-08,1189
2022-07-09,1915
2022-07-10,1799
2022-07-11,1207
2022-07-12,950
2022-07-13,1266
2022-07-14,989
2022-07-15,1267
2022-07-16,1261
2022-07-17,778
2022-07-18,1037
2022-07-19,1101
2022-07-20,1970
2022-07-21,1804
2022-07-22,1209
2022-07-23,786
2022-07-24,896
2022-07-25,1027
2022-07-26,1281
2022-07-27,1206
2022-07-28,1087
2022-07-29,1619
2022-07-30,1466
2022-07-31,2146
2022-08-01,1643
