time,estimated_returnee
2022-03-24,2099
2022-03-25,2225
2022-03-26,1847
2022-03-27,1981
2022-03-28,2356
2022-03-29,2050
2022-03-30,2176
2022-03-31,1777
2022-04-01,1677
2022-04-02,1865
2022-04-03,1896
2022-04-04,2281
2022-04-05,2043
2022-04-06,2047
2022-04-07,1727
2022-04-08,1933
2022-04-09,1733
2022-04-10,1694
2022-04-11,2007
2022-04-12,2100
2022-04-13,2167
2022-04-14,1881
2022-04-15,1886
2022-04-16,1696
2022-04-17,1585
2022-04-18,1902
2022-04-19,1868
2022-04-20,2035
2022-04-21,1747
2022-04-22,1746
2022-04-23,1434
2022-04-24,1595
2022-04-25,1687
2022-04-26,1793
2022-04-27,1581
2022-04-28,1473
2022-04-29,1669
2022-04-30,1378
2022-05-01,1374
2022-05-02,1654
2022-05-03,1624
2022-05-04,1620
2022-05-05,1491
2022-05-06,1590
2022-05-07,1420
2022-05-08,1340
2022-05-09,1560
2022-05-10,1572
2022-05-11,1614
2022-05-12,1301
2022-05-13,1333
2022-05-14,1261
2022-05-15,1148
2022-05-16,1362
2022-05-17,1370
2022-05-18,1418
2022-05-19,1186
2022-05-20,1400
2022-05-21,1159
2022-05-22,1052
2022-05-23,1409
2022-05-24,1295
2022-05-25,1324
2022-05-26,1358
2022-05-27,1272
2022-05-28,1081
2022-05-29,1058
2022-05-30,1103
2022-05-31,1228
2022-06-01,949
2022-06-02,877
2022-06-03,848
2022-06-04,731
2022-06-05,765
2022-06-06,811
2022-06-07,864
2022-06-08,826
2022-06-09,857
2022-06-10,871
2022-06-11,688
2022-06-12,684
2022-06-13,850
2022-06-14,859
2022-06-15,786
2022-06-16,788
2022-06-17,857
2022-06-18,648
2022-06-19,662
2022-06-20,625
2022-06-21,732
2022-06-22,692
2022-06-23,633
2022-06-24,802
2022-06-25,641
2022-06-26,527
2022-06-27,762
2022-06-28,590
2022-06-29,790
2022-06-30,549
2022-07-01,607
2022-07-02,451
2022-07-03,570
2022-07-04,727
2022-07-05,643
2022-07-06,651
2022-07-07,511
2022-07-08,628
2022-07-09,520
2022-07-10,499
2022-07-11,526
2022-07-12,513
2022-07-13,434
2022-07-14,408
2022-07-15,578
2022-07-16,430
2022-07-17,445
2022-07-18,521
2022-07-19,572
2022-07-20,479
2022-07-21,391
2022-07-22,478
2022-07-23,461
2022-07-24,410
2022-07-25,490
2022-07-26,515
2022-07-27,436
2022-07-28,339
2022-07-29,456
2022-07-30,370
2022-07-31,339
2022-08-01,471
