time,estimated_returnee
2022-03-24,2718
2022-03-25,2718
2022-03-26,2718
2022-03-27,2926
2022-03-28,3022
2022-03-29,2875
2022-03-30,3120
2022-03-31,3093
2022-04-01,3093
2022-04-02,3093
2022-04-03,2819
2022-04-04,3480
2022-04-05,3325
2022-04-06,2476
2022-04-07,2475
2022-04-08,2475
2022-04-09,2475
2022-04-10,2475
2022-04-11,2485
2022-04-12,3104
2022-04-13,3415
2022-04-14,3523
2022-04-15,3523
2022-04-16,3522
2022-04-17,3450
2022-04-18,3380
2022-04-19,3200
2022-04-20,3150
2022-04-21,3100
2022-04-22,3050
2022-04-23,3000
2022-04-24,2950
2022-04-25,2900
2022-04-26,2850
2022-04-27,2800
2022-04-28,2750
2022-04-29,2700
2022-04-30,2650
2022-05-01,2600
2022-05-02,2550
2022-05-03,2500
2022-05-04,2450
2022-05-05,2400
2022-05-06,2350
2022-05-07,2300
2022-05-08,2250
2022-05-09,2200
2022-05-10,2150
2022-05-11,2100
2022-05-12,2050
2022-05-13,2000
2022-05-14,1950
2022-05-15,1900
2022-05-16,1850
2022-05-17,1800
2022-05-18,1780
2022-05-19,1760
2022-05-20,1740
2022-05-21,1720
2022-05-22,1700
2022-05-23,1680
2022-05-24,1660
2022-05-25,1640
2022-05-26,1620
2022-05-27,1600
2022-05-28,1580
2022-05-29,1560
2022-05-30,1540
2022-05-31,1520
2022-06-01,1500
2022-06-02,1490
2022-06-03,1480
2022-06-04,1470
2022-06-05,1460
2022-06-06,1450
2022-06-07,1440
2022-06-08,1430
2022-06-09,1420
2022-06-10,1410
2022-06-11,1400
2022-06-12,1390
2022-06-13,1380
2022-06-14,1370
2022-06-15,1360
2022-06-16,1350
2022-06-17,1340
2022-06-18,1330
2022-06-19,1320
2022-06-20,1310
2022-06-21,1300
2022-06-22,1290
2022-06-23,1280
2022-06-24,1270
2022-06-25,1260
2022-06-26,1250
2022-06-27,1240
2022-06-28,1230
2022-06-29,1220
2022-06-30,1210
2022-07-01,1200
2022-07-02,1190
2022-07-03,1180
2022-07-04,1170
2022-07-05,1160
2022-07-06,1150
2022-07-07,1140
2022-07-08,1130
2022-07-09,1120
2022-07-10,1110
2022-07-11,1100
2022-07-12,1090
2022-07-13,1080
2022-07-14,1070
2022-07-15,1060
2022-07-16,1050
2022-07-17,1040
2022-07-18,1030
2022-07-19,1020
2022-07-20,1010
2022-07-21,1000
2022-07-22,990
2022-07-23,980
2022-07-24,970
2022-07-25,960
2022-07-26,950
2022-07-27,940
2022-07-28,930
2022-07-29,920
2022-07-30,910
2022-07-31,900
2022-08-01,890
