time,estimated_returnee
2022-03-24,2092
2022-03-25,2404
2022-03-26,2409
2022-03-27,1825
2022-03-28,2060
2022-03-29,2468
2022-03-30,2839
2022-03-31,3388
2022-04-01,3313
2022-04-02,2180
2022-04-03,1681
2022-04-04,2326
2022-04-05,2871
2022-04-06,3262
2022-04-07,3525
2022-04-08,2577
2022-04-09,1018
2022-04-10,1498
2022-04-11,2136
2022-04-12,2616
2022-04-13,3006
2022-04-14,3219
2022-04-15,3823
2022-04-16,2991
2022-04-17,3156
2022-04-18,3542
2022-04-19,3821
2022-04-20,4108
2022-04-21,4287
2022-04-22,4456
2022-04-23,4189
2022-04-24,3687
2022-04-25,4023
2022-04-26,4312
2022-04-27,4521
2022-04-28,4638
2022-04-29,4712
2022-04-30,4523
2022-05-01,4189
2022-05-02,4367
2022-05-03,4589
2022-05-04,4721
2022-05-05,4823
2022-05-06,4901
2022-05-07,4687
2022-05-08,4312
2022-05-09,4556
2022-05-10,4689
2022-05-11,4767
2022-05-12,4821
2022-05-13,4856
2022-05-14,4612
2022-05-15,4298
2022-05-16,4487
2022-05-17,4598
2022-05-18,4671
2022-05-19,4723
2022-05-20,4758
2022-05-21,4589
2022-05-22,4267
2022-05-23,4421
2022-05-24,4523
2022-05-25,4589
2022-05-26,4634
2022-05-27,4667
2022-05-28,4512
2022-05-29,4198
2022-05-30,4345
2022-05-31,4441
2022-06-01,4502
2022-06-02,4542
2022-06-03,4571
2022-06-04,4423
2022-06-05,4123
2022-06-06,4267
2022-06-07,4356
2022-06-08,4412
2022-06-09,4449
2022-06-10,4476
2022-06-11,4334
2022-06-12,4056
2022-06-13,4189
2022-06-14,4273
2022-06-15,4325
2022-06-16,4359
2022-06-17,4384
2022-06-18,4245
2022-06-19,3989
2022-06-20,4112
2022-06-21,4191
2022-06-22,4239
2022-06-23,4271
2022-06-24,4294
2022-06-25,4158
2022-06-26,3923
2022-06-27,4036
2022-06-28,4109
2022-06-29,4154
2022-06-30,4184
2022-07-01,4206
2022-07-02,4074
2022-07-03,3856
2022-07-04,3961
2022-07-05,4029
2022-07-06,4072
2022-07-07,4101
2022-07-08,4121
2022-07-09,3992
2022-07-10,3789
2022-07-11,3887
2022-07-12,3951
2022-07-13,3992
2022-07-14,4019
2022-07-15,4038
2022-07-16,3912
2022-07-17,3723
2022-07-18,3814
2022-07-19,3874
2022-07-20,3913
2022-07-21,3938
2022-07-22,3956
2022-07-23,3833
2022-07-24,3658
2022-07-25,3743
2022-07-26,3799
2022-07-27,3836
2022-07-28,3859
2022-07-29,3876
2022-07-30,3756
2022-07-31,3594
2022-08-01,3674
