time,estimated_returnee
2022-03-24,2519
2022-03-25,2484
2022-03-26,2705
2022-03-27,2723
2022-03-28,2727
2022-03-29,2656
2022-03-30,2732
2022-03-31,1948
2022-04-01,2626
2022-04-02,2725
2022-04-03,2694
2022-04-04,2641
2022-04-05,2682
2022-04-06,2698
2022-04-07,2608
2022-04-08,2617
2022-04-09,2737
2022-04-10,2656
2022-04-11,2602
2022-04-12,2744
2022-04-13,2617
2022-04-14,2718
2022-04-15,2375
2022-04-16,2676
2022-04-17,2745
2022-04-18,2477
2022-04-19,10
2022-04-20,2682
2022-04-21,2641
2022-04-22,2709
2022-04-23,2633
2022-04-24,2691
2022-04-25,2741
2022-04-26,2689
2022-04-27,2626
2022-04-28,2728
2022-04-29,2685
2022-04-30,2720
2022-05-01,2691
2022-05-02,2732
2022-05-03,2723
2022-05-04,2622
2022-05-05,2722
2022-05-06,2698
2022-05-07,2746
2022-05-08,2705
2022-05-09,2626
2022-05-10,2745
2022-05-11,2733
2022-05-12,2702
2022-05-13,2666
2022-05-14,2694
2022-05-15,2671
2022-05-16,2593
2022-05-17,2685
2022-05-18,2718
2022-05-19,2529
2022-05-20,2661
2022-05-21,2737
2022-05-22,2727
2022-05-23,2696
2022-05-24,2656
2022-05-25,2576
2022-05-26,2428
2022-05-27,2722
2022-05-28,2664
2022-05-29,2491
2022-05-30,2646
2022-05-31,2713
2022-06-01,2744
2022-06-02,2733
2022-06-03,2720
2022-06-04,2666
2022-06-05,2735
2022-06-06,2733
2022-06-07,2720
2022-06-08,2725
2022-06-09,2713
2022-06-10,2711
2022-06-11,2745
2022-06-12,2543
2022-06-13,2705
2022-06-14,2713
2022-06-15,2722
2022-06-16,2732
2022-06-17,2718
2022-06-18,2529
2022-06-19,2641
2022-06-20,2744
2022-06-21,2735
2022-06-22,2676
2022-06-23,2745
2022-06-24,2694
2022-06-25,2739
2022-06-26,2685
2022-06-27,2739
2022-06-28,2739
2022-06-29,2608
2022-06-30,2737
2022-07-01,2735
2022-07-02,2730
2022-07-03,2730
2022-07-04,2722
2022-07-05,2715
2022-07-06,2718
2022-07-07,2728
2022-07-08,2733
2022-07-09,2735
2022-07-10,2656
2022-07-11,2739
2022-07-12,2698
2022-07-13,2730
2022-07-14,2722
2022-07-15,2646
2022-07-16,2746
2022-07-17,2746
2022-07-18,2732
2022-07-19,2732
2022-07-20,2666
2022-07-21,2744
2022-07-22,2705
2022-07-23,2673
2022-07-24,2428
2022-07-25,2746
2022-07-26,2696
2022-07-27,2671
2022-07-28,2737
2022-07-29,2728
2022-07-30,2702
2022-07-31,2732
2022-08-01,2745
