time,estimated_returnee
2022-03-24,1692
2022-03-25,1726
2022-03-26,1761
2022-03-27,1795
2022-03-28,1829
2022-03-29,1863
2022-03-30,1898
2022-03-31,1932
2022-04-01,1966
2022-04-02,2000
2022-04-03,2035
2022-04-04,2069
2022-04-05,2103
2022-04-06,2137
2022-04-07,2172
2022-04-08,2206
2022-04-09,2240
2022-04-10,2274
2022-04-11,2309
2022-04-12,2343
2022-04-13,2377
2022-04-14,2411
2022-04-15,2446
2022-04-16,2480
2022-04-17,2514
2022-04-18,2548
2022-04-19,2583
2022-04-20,2617
2022-04-21,2651
2022-04-22,2685
2022-04-23,2720
2022-04-24,2754
2022-04-25,2788
2022-04-26,2822
2022-04-27,2857
2022-04-28,2891
2022-04-29,2925
2022-04-30,2959
2022-05-01,2991
2022-05-02,3009
2022-05-03,3026
2022-05-04,3042
2022-05-05,3058
2022-05-06,3075
2022-05-07,3090
2022-05-08,3108
2022-05-09,3123
2022-05-10,3141
2022-05-11,3158
2022-05-12,3175
2022-05-13,3191
2022-05-14,3209
2022-05-15,3225
2022-05-16,3242
2022-05-17,3258
2022-05-18,3273
2022-05-19,3289
2022-05-20,3307
2022-05-21,3323
2022-05-22,3338
2022-05-23,3354
2022-05-24,3371
2022-05-25,3388
2022-05-26,3405
2022-05-27,3422
2022-05-28,3438
2022-05-29,3455
2022-05-30,3470
2022-05-31,3488
2022-06-01,3505
2022-06-02,3522
2022-06-03,3537
2022-06-04,3555
2022-06-05,3571
2022-06-06,3588
2022-06-07,3605
2022-06-08,3622
2022-06-09,3638
2022-06-10,3655
2022-06-11,3673
2022-06-12,3690
2022-06-13,3707
2022-06-14,3724
2022-06-15,3741
2022-06-16,3758
2022-06-17,3774
2022-06-18,3791
2022-06-19,3808
2022-06-20,3825
2022-06-21,3842
2022-06-22,3858
2022-06-23,3875
2022-06-24,3892
2022-06-25,3908
2022-06-26,3925
2022-06-27,3942
2022-06-28,3958
2022-06-29,3975
2022-06-30,3992
2022-07-01,4009
2022-07-02,4026
2022-07-03,4043
2022-07-04,4059
2022-07-05,4075
2022-07-06,4092
2022-07-07,4109
2022-07-08,4125
2022-07-09,4142
2022-07-10,4159
2022-07-11,4176
2022-07-12,4193
2022-07-13,4209
2022-07-14,4226
2022-07-15,4243
2022-07-16,4259
2022-07-17,4276
2022-07-18,4292
2022-07-19,4309
2022-07-20,4326
2022-07-21,4343
2022-07-22,4359
2022-07-23,4376
2022-07-24,4393
2022-07-25,4410
2022-07-26,4426
2022-07-27,4443
2022-07-28,4460
2022-07-29,4476
2022-07-30,4493
2022-07-31,4510
2022-08-01,4527
