time,estimated_returnee
2022-03-24,837
2022-03-25,1371
2022-03-26,1240
2022-03-27,1434
2022-03-28,1223
2022-03-29,1306
2022-03-30,1135
2022-03-31,1195
2022-04-01,928
2022-04-02,757
2022-04-03,847
2022-04-04,543
2022-04-05,699
2022-04-06,980
2022-04-07,531
2022-04-08,713
2022-04-09,406
2022-04-10,517
2022-04-11,93
2022-04-12,0
2022-04-13,154
2022-04-14,209
2022-04-15,0
2022-04-16,221
2022-04-17,210
2022-04-18,178
2022-04-19,150
2022-04-20,287
2022-04-21,226
2022-04-22,253
2022-04-23,256
2022-04-24,227
2022-04-25,175
2022-04-26,103
2022-04-27,154
2022-04-28,147
2022-04-29,218
2022-04-30,237
2022-05-01,158
2022-05-02,151
2022-05-03,120
2022-05-04,103
2022-05-05,61
2022-05-06,123
2022-05-07,119
2022-05-08,154
2022-05-09,72
2022-05-10,151
2022-05-11,71
2022-05-12,51
2022-05-13,94
2022-05-14,91
2022-05-15,110
2022-05-16,54
2022-05-17,137
2022-05-18,84
2022-05-19,93
2022-05-20,110
2022-05-21,101
2022-05-22,73
2022-05-23,70
2022-05-24,79
2022-05-25,102
2022-05-26,108
2022-05-27,60
2022-05-28,89
2022-05-29,53
2022-05-30,50
2022-05-31,58
2022-06-01,55
2022-06-02,52
2022-06-03,64
2022-06-04,69
2022-06-05,49
2022-06-06,72
2022-06-07,56
2022-06-08,81
2022-06-09,59
2022-06-10,56
2022-06-11,71
2022-06-12,60
2022-06-13,68
2022-06-14,28
2022-06-15,62
2022-06-16,62
2022-06-17,59
2022-06-18,73
2022-06-19,34
2022-06-20,55
2022-06-21,61
2022-06-22,166
2022-06-23,80
2022-06-24,45
2022-06-25,38
2022-06-26,51
2022-06-27,45
2022-06-28,48
2022-06-29,60
2022-06-30,34
2022-07-01,37
2022-07-02,57
2022-07-03,47
2022-07-04,41
2022-07-05,31
2022-07-06,93
2022-07-07,48
2022-07-08,36
2022-07-09,47
2022-07-10,60
2022-07-11,28
2022-07-12,36
2022-07-13,25
2022-07-14,47
2022-07-15,58
2022-07-16,19
2022-07-17,90
2022-07-18,63
2022-07-19,59
2022-07-20,44
2022-07-21,29
2022-07-22,30
2022-07-23,69
2022-07-24,65
2022-07-25,35
2022-07-26,18
2022-07-27,45
2022-07-28,0
2022-07-29,89
2022-07-30,89
2022-07-31,20
2022-08-01,83
