time,estimated_returnee
2022-03-24,139
2022-03-25,177
2022-03-26,430
2022-03-27,452
2022-03-28,352
2022-03-29,385
2022-03-30,249
2022-03-31,180
2022-04-01,189
2022-04-02,223
2022-04-03,126
2022-04-04,287
2022-04-05,105
2022-04-06,150
2022-04-07,78
2022-04-08,99
2022-04-09,48
2022-04-10,85
2022-04-11,18
2022-04-12,318
2022-04-13,17
2022-04-14,169
2022-04-15,124
2022-04-16,342
2022-04-17,132
2022-04-18,98
2022-04-19,113
2022-04-20,40
2022-04-21,14
2022-04-22,150
2022-04-23,178
2022-04-24,1
2022-04-25,98
2022-04-26,86
2022-04-27,143
2022-04-28,130
2022-04-29,109
2022-04-30,95
2022-05-01,58
2022-05-02,41
2022-05-03,29
2022-05-04,111
2022-05-05,24
2022-05-06,37
2022-05-07,66
2022-05-08,20
2022-05-09,57
2022-05-10,17
2022-05-11,33
2022-05-12,17
2022-05-13,32
2022-05-14,34
2022-05-15,15
2022-05-16,25
2022-05-17,14
2022-05-18,26
2022-05-19,91
2022-05-20,16
2022-05-21,47
2022-05-22,14
2022-05-23,74
2022-05-24,76
2022-05-25,117
2022-05-26,41
2022-05-27,72
2022-05-28,60
2022-05-29,88
2022-05-30,69
2022-05-31,128
2022-06-01,69
2022-06-02,46
2022-06-03,60
2022-06-04,111
2022-06-05,101
2022-06-06,100
2022-06-07,32
2022-06-08,105
2022-06-09,66
2022-06-10,61
2022-06-11,104
2022-06-12,83
2022-06-13,124
2022-06-14,109
2022-06-15,87
2022-06-16,98
2022-06-17,101
2022-06-18,122
2022-06-19,119
2022-06-20,85
2022-06-21,139
2022-06-22,96
2022-06-23,121
2022-06-24,102
2022-06-25,106
2022-06-26,92
2022-06-27,111
2022-06-28,111
2022-06-29,103
2022-06-30,99
2022-07-01,106
2022-07-02,75
2022-07-03,102
2022-07-04,121
2022-07-05,82
2022-07-06,96
2022-07-07,101
2022-07-08,82
2022-07-09,82
2022-07-10,73
2022-07-11,67
2022-07-12,83
2022-07-13,83
2022-07-14,86
2022-07-15,64
2022-07-16,93
2022-07-17,99
2022-07-18,73
2022-07-19,79
2022-07-20,68
2022-07-21,123
2022-07-22,105
2022-07-23,96
2022-07-24,84
2022-07-25,83
2022-07-26,92
2022-07-27,112
2022-07-28,110
2022-07-29,94
2022-07-30,111
2022-07-31,112
2022-08-01,94

