time,estimated_returnee
2022-03-24,27
2022-03-25,37
2022-03-26,276
2022-03-27,309
2022-03-28,230
2022-03-29,194
2022-03-30,325
2022-03-31,26
2022-04-01,169
2022-04-02,296
2022-04-03,145
2022-04-04,143
2022-04-05,120
2022-04-06,192
2022-04-07,136
2022-04-08,143
2022-04-09,260
2022-04-10,83
2022-04-11,166
2022-04-12,87
2022-04-13,150
2022-04-14,61
2022-04-15,112
2022-04-16,140
2022-04-17,207
2022-04-18,68
2022-04-19,208
2022-04-20,92
2022-04-21,8
2022-04-22,77
2022-04-23,115
2022-04-24,52
2022-04-25,55
2022-04-26,125
2022-04-27,126
2022-04-28,68
2022-04-29,154
2022-04-30,123
2022-05-01,26
2022-05-02,104
2022-05-03,83
2022-05-04,147
2022-05-05,107
2022-05-06,77
2022-05-07,24
2022-05-08,72
2022-05-09,68
2022-05-10,12
2022-05-11,9
2022-05-12,37
2022-05-13,10
2022-05-14,97
2022-05-15,8
2022-05-16,77
2022-05-17,8
2022-05-18,105
2022-05-19,9
2022-05-20,53
2022-05-21,98
2022-05-22,52
2022-05-23,93
2022-05-24,37
2022-05-25,76
2022-05-26,43
2022-05-27,50
2022-05-28,21
2022-05-29,11
2022-05-30,45
2022-05-31,73
2022-06-01,155
2022-06-02,24
2022-06-03,56
2022-06-04,21
2022-06-05,10
2022-06-06,23
2022-06-07,29
2022-06-08,70
2022-06-09,5
2022-06-10,45
2022-06-11,57
2022-06-12,52
2022-06-13,49
2022-06-14,24
2022-06-15,113
2022-06-16,31
2022-06-17,46
2022-06-18,41
2022-06-19,74
2022-06-20,32
2022-06-21,38
2022-06-22,28
2022-06-23,19
2022-06-24,75
2022-06-25,17
2022-06-26,102
2022-06-27,61
2022-06-28,60
2022-06-29,52
2022-06-30,27
2022-07-01,33
2022-07-02,76
2022-07-03,60
2022-07-04,38
2022-07-05,22
2022-07-06,56
2022-07-07,21
2022-07-08,60
2022-07-09,4
2022-07-10,23
2022-07-11,10
2022-07-12,43
2022-07-13,22
2022-07-14,6
2022-07-15,96
2022-07-16,56
2022-07-17,38
2022-07-18,8
2022-07-19,25
2022-07-20,22
2022-07-21,16
2022-07-22,52
2022-07-23,24
2022-07-24,21
2022-07-25,40
2022-07-26,46
2022-07-27,6
2022-07-28,4
2022-07-29,25
2022-07-30,36
2022-07-31,17
2022-08-01,41
