time,estimated_returnee
2022-03-24,438
2022-03-25,528
2022-03-26,716
2022-03-27,677
2022-03-28,909
2022-03-29,856
2022-03-30,710
2022-03-31,287
2022-04-01,516
2022-04-02,602
2022-04-03,307
2022-04-04,793
2022-04-05,627
2022-04-06,511
2022-04-07,392
2022-04-08,500
2022-04-09,555
2022-04-10,237
2022-04-11,529
2022-04-12,453
2022-04-13,629
2022-04-14,431
2022-04-15,290
2022-04-16,283
2022-04-17,317
2022-04-18,467
2022-04-19,739
2022-04-20,336
2022-04-21,229
2022-04-22,338
2022-04-23,201
2022-04-24,125
2022-04-25,485
2022-04-26,317
2022-04-27,435
2022-04-28,229
2022-04-29,518
2022-04-30,202
2022-05-01,82
2022-05-02,377
2022-05-03,326
2022-05-04,355
2022-05-05,180
2022-05-06,469
2022-05-07,152
2022-05-08,225
2022-05-09,530
2022-05-10,245
2022-05-11,113
2022-05-12,224
2022-05-13,181
2022-05-14,207
2022-05-15,155
2022-05-16,236
2022-05-17,197
2022-05-18,236
2022-05-19,97
2022-05-20,170
2022-05-21,124
2022-05-22,125
2022-05-23,287
2022-05-24,274
2022-05-25,198
2022-05-26,202
2022-05-27,166
2022-05-28,182
2022-05-29,125
2022-05-30,223
2022-05-31,218
2022-06-01,285
2022-06-02,255
2022-06-03,169
2022-06-04,139
2022-06-05,145
2022-06-06,161
2022-06-07,223
2022-06-08,135
2022-06-09,143
2022-06-10,259
2022-06-11,510
2022-06-12,199
2022-06-13,159
2022-06-14,118
2022-06-15,243
2022-06-16,96
2022-06-17,260
2022-06-18,181
2022-06-19,127
2022-06-20,180
2022-06-21,254
2022-06-22,244
2022-06-23,139
2022-06-24,163
2022-06-25,237
2022-06-26,184
2022-06-27,178
2022-06-28,170
2022-06-29,236
2022-06-30,143
2022-07-01,151
2022-07-02,79
2022-07-03,155
2022-07-04,271
2022-07-05,106
2022-07-06,424
2022-07-07,235
2022-07-08,251
2022-07-09,71
2022-07-10,96
2022-07-11,103
2022-07-12,293
2022-07-13,222
2022-07-14,75
2022-07-15,104
2022-07-16,150
2022-07-17,40
2022-07-18,158
2022-07-19,137
2022-07-20,109
2022-07-21,66
2022-07-22,186
2022-07-23,124
2022-07-24,116
2022-07-25,338
2022-07-26,236
2022-07-27,152
2022-07-28,51
2022-07-29,121
2022-07-30,93
2022-07-31,133
2022-08-01,218
