time,estimated_returnee
2022-03-24,15
2022-03-25,17
2022-03-26,16
2022-03-27,13
2022-03-28,11
2022-03-29,16
2022-03-30,12
2022-03-31,14
2022-04-01,14
2022-04-02,13
2022-04-03,10
2022-04-04,7
2022-04-05,10
2022-04-06,10
2022-04-07,13
2022-04-08,15
2022-04-09,10
2022-04-10,10
2022-04-11,9
2022-04-12,8
2022-04-13,5
2022-04-14,9
2022-04-15,9
2022-04-16,12
2022-04-17,6
2022-04-18,12
2022-04-19,6
2022-04-20,4
2022-04-21,8
2022-04-22,8
2022-04-23,9
2022-04-24,5
2022-04-25,12
2022-04-26,7
2022-04-27,8
2022-04-28,9
2022-04-29,9
2022-04-30,6
2022-05-01,9
2022-05-02,10
2022-05-03,13
2022-05-04,14
2022-05-05,8
2022-05-06,11
2022-05-07,7
2022-05-08,7
2022-05-09,8
2022-05-10,7
2022-05-11,7
2022-05-12,8
2022-05-13,9
2022-05-14,6
2022-05-15,9
2022-05-16,7
2022-05-17,10
2022-05-18,7
2022-05-19,7
2022-05-20,9
2022-05-21,7
2022-05-22,8
2022-05-23,5
2022-05-24,7
2022-05-25,7
2022-05-26,7
2022-05-27,8
2022-05-28,4
2022-05-29,9
2022-05-30,7
2022-05-31,18
2022-06-01,9
2022-06-02,5
2022-06-03,4
2022-06-04,6
2022-06-05,5
2022-06-06,5
2022-06-07,7
2022-06-08,4
2022-06-09,4
2022-06-10,7
2022-06-11,6
2022-06-12,5
2022-06-13,4
2022-06-14,11
2022-06-15,6
2022-06-16,6
2022-06-17,7
2022-06-18,9
2022-06-19,4
2022-06-20,6
2022-06-21,4
2022-06-22,7
2022-06-23,9
2022-06-24,3
2022-06-25,13
2022-06-26,9
2022-06-27,9
2022-06-28,6
2022-06-29,4
2022-06-30,5
2022-07-01,10
2022-07-02,9
2022-07-03,5
2022-07-04,3
2022-07-05,7
2022-07-06,3
2022-07-07,7
2022-07-08,5
2022-07-09,4
2022-07-10,3
2022-07-11,6
2022-07-12,5
2022-07-13,7
2022-07-14,12
2022-07-15,7
2022-07-16,11
2022-07-17,3
2022-07-18,5
2022-07-19,4
2022-07-20,7
2022-07-21,6
2022-07-22,5
2022-07-23,6
2022-07-24,6
2022-07-25,5
2022-07-26,7
2022-07-27,5
2022-07-28,6
2022-07-29,8
2022-07-30,3
2022-07-31,5
2022-08-01,5
