time,estimated_returnee
2022-03-24,48
2022-03-25,45
2022-03-26,59
2022-03-27,64
2022-03-28,76
2022-03-29,73
2022-03-30,72
2022-03-31,129
2022-04-01,148
2022-04-02,70
2022-04-03,196
2022-04-04,108
2022-04-05,102
2022-04-06,134
2022-04-07,196
2022-04-08,179
2022-04-09,237
2022-04-10,258
2022-04-11,358
2022-04-12,104
2022-04-13,422
2022-04-14,468
2022-04-15,158
2022-04-16,453
2022-04-17,567
2022-04-18,664
2022-04-19,711
2022-04-20,175
2022-04-21,486
2022-04-22,114
2022-04-23,869
2022-04-24,851
2022-04-25,867
2022-04-26,855
2022-04-27,1022
2022-04-28,1007
2022-04-29,280
2022-04-30,566
2022-05-01,823
2022-05-02,419
2022-05-03,1113
2022-05-04,557
2022-05-05,1341
2022-05-06,682
2022-05-07,1022
2022-05-08,988
2022-05-09,240
2022-05-10,973
2022-05-11,638
2022-05-12,1290
2022-05-13,1493
2022-05-14,1709
2022-05-15,1856
2022-05-16,2005
2022-05-17,1968
2022-05-18,2011
2022-05-19,1632
2022-05-20,2259
2022-05-21,2217
2022-05-22,2244
2022-05-23,2154
2022-05-24,2439
2022-05-25,2432
2022-05-26,2185
2022-05-27,2519
2022-05-28,2405
2022-05-29,116
2022-05-30,2529
2022-05-31,2400
2022-06-01,2154
2022-06-02,2661
2022-06-03,2530
2022-06-04,2246
2022-06-05,1845
2022-06-06,2438
2022-06-07,2831
2022-06-08,2673
2022-06-09,2911
2022-06-10,2686
2022-06-11,2854
2022-06-12,2588
2022-06-13,3169
2022-06-14,2883
2022-06-15,2980
2022-06-16,3217
2022-06-17,3159
2022-06-18,3388
2022-06-19,3444
2022-06-20,3465
2022-06-21,3583
2022-06-22,3704
2022-06-23,3336
2022-06-24,3465
2022-06-25,3639
2022-06-26,3788
2022-06-27,3855
2022-06-28,3909
2022-06-29,4004
2022-06-30,4125
2022-07-01,4220
2022-07-02,4333
2022-07-03,4434
2022-07-04,4531
2022-07-05,4552
2022-07-06,4583
2022-07-07,4505
2022-07-08,4872
2022-07-09,4684
2022-07-10,4668
2022-07-11,4837
2022-07-12,5064
2022-07-13,5220
2022-07-14,5369
2022-07-15,5515
2022-07-16,5312
2022-07-17,5576
2022-07-18,5698
2022-07-19,5723
2022-07-20,5860
2022-07-21,5828
2022-07-22,5990
2022-07-23,6098
2022-07-24,6214
2022-07-25,6289
2022-07-26,6393
2022-07-27,6500
2022-07-28,6605
2022-07-29,6745
2022-07-30,6882
2022-07-31,6948
2022-08-01,7215
