time,estimated_returnee
2022-03-24,148
2022-03-25,163
2022-03-26,179
2022-03-27,185
2022-03-28,195
2022-03-29,196
2022-03-30,182
2022-03-31,187
2022-04-01,188
2022-04-02,191
2022-04-03,191
2022-04-04,189
2022-04-05,183
2022-04-06,184
2022-04-07,183
2022-04-08,188
2022-04-09,188
2022-04-10,188
2022-04-11,187
2022-04-12,187
2022-04-13,187
2022-04-14,187
2022-04-15,186
2022-04-16,187
2022-04-17,187
2022-04-18,187
2022-04-19,187
2022-04-20,185
2022-04-21,184
2022-04-22,181
2022-04-23,185
2022-04-24,183
2022-04-25,184
2022-04-26,183
2022-04-27,185
2022-04-28,185
2022-04-29,184
2022-04-30,183
2022-05-01,182
2022-05-02,185
2022-05-03,184
2022-05-04,183
2022-05-05,182
2022-05-06,184
2022-05-07,184
2022-05-08,185
2022-05-09,185
2022-05-10,187
2022-05-11,187
2022-05-12,187
2022-05-13,186
2022-05-14,184
2022-05-15,183
2022-05-16,185
2022-05-17,185
2022-05-18,186
2022-05-19,184
2022-05-20,184
2022-05-21,184
2022-05-22,184
2022-05-23,184
2022-05-24,184
2022-05-25,184
2022-05-26,184
2022-05-27,182
2022-05-28,184
2022-05-29,183
2022-05-30,181
2022-05-31,179
2022-06-01,179
2022-06-02,179
2022-06-03,178
2022-06-04,178
2022-06-05,177
2022-06-06,176
2022-06-07,177
2022-06-08,178
2022-06-09,178
2022-06-10,178
2022-06-11,178
2022-06-12,178
2022-06-13,178
2022-06-14,177
2022-06-15,178
2022-06-16,178
2022-06-17,177
2022-06-18,177
2022-06-19,176
2022-06-20,175
2022-06-21,175
2022-06-22,174
2022-06-23,174
2022-06-24,174
2022-06-25,174
2022-06-26,173
2022-06-27,173
2022-06-28,173
2022-06-29,173
2022-06-30,173
2022-07-01,173
2022-07-02,173
2022-07-03,173
2022-07-04,172
2022-07-05,172
2022-07-06,172
2022-07-07,172
2022-07-08,172
2022-07-09,172
2022-07-10,172
2022-07-11,172
2022-07-12,172
2022-07-13,172
2022-07-14,171
2022-07-15,171
2022-07-16,171
2022-07-17,171
2022-07-18,171
2022-07-19,171
2022-07-20,171
2022-07-21,171
2022-07-22,171
2022-07-23,170
2022-07-24,170
2022-07-25,170
2022-07-26,170
2022-07-27,170
2022-07-28,170
2022-07-29,170
2022-07-30,170
2022-07-31,170
2022-08-01,170
